Country code,Country name,GDP
ABW,Aruba,
AFG,Afghanistan,20724663536.8245
AGO,Angola,121703638683.744
ALB,Albania,12903854876.3724
ANT,Netherlands Antilles,
ARE,United Arab Emirates,
ARG,Argentina,611755084645.166
ARM,Armenia,10432169571.25
ATG,Antigua and Barbuda,1230000000
AUS,Australia,1560597150412.22
AUT,Austria,415843926201.396
AZE,Azerbaijan,73560484384.9586
BDI,Burundi,2718232385.26388
BEL,Belgium,508115693499.71
BEN,Benin,8307019674.52028
BFA,Burkina Faso,11582556068.3345
BGD,Bangladesh,129856605444.79
BGR,Bulgaria,53009839847.9913
BHR,Bahrain,32788114767.1784
BHS,Bahamas,
BIH,Bosnia and Herzegovina,17827710270.8574
BLR,Belarus,71709513654.3393
BLZ,Belize,1604500000
BMU,Bermuda,
BOL,Bolivia,30601157742.4023
BRA,Brazil,2245673032353.76
BRB,Barbados,
BRN,Brunei Darussalam,16111135788.9616
BTN,Bhutan,1883654335.14569
BVT,Bouvet Island,
BWA,Botswana,14788476190.4762
CAF,Central African Republic,1538175744.07775
CAN,Canada,1825096387908.98
CHE,Switzerland,650781843978.122
CHL,Chile,277198774856.807
CHN,China,9240270452050.24
CIV,Cote d'Ivoire,30905260389.2216
CMR,Cameroon,29274957493.3204
COD,Democratic Republic of the Congo,30629191170.4255
COG,Congo,14108139017.0836
COL,Colombia,378147773315.64
COM,Comoros,657300888.251354
CPV,Cape Verde,1888123343.77258
CRI,Costa Rica,49621089476.1317
CUB,Cuba,
CYM,Cayman Islands,
CYP,Cyprus,
CZE,Czech Republic,198449884392.818
DEU,Germany,3634822579319.16
DJI,Djibouti,1456344495.0231
DMA,Dominica,504814814.814815
DNK,Denmark,330813548787.382
DOM,Dominican Republic,60613625980.4004
DZA,Algeria,210183410526.104
ECU,Ecuador,90023493747.2
EGY,Egypt,271972822883.38
ERI,Eritrea,3444097560.97561
ESP,Spain,1358262668312.59
EST,Estonia,24476537986.0141
ETH,Ethiopia,46869297570.6277
FIN,Finland,256842118721.229
FJI,Fiji,4027913544.04258
FRA,France,2734949064748.58
FRO,Faroe Islands,
FSM,"Micronesia, Federated States of",335000000
GAB,Gabon,19343506598.656
GBR,United Kingdom,2522261112322.15
GEO,Georgia,16126548034.1469
GHA,Ghana,47928717948.718
GIN,Guinea,6192819666.70282
GMB,Gambia,914293769.382577
GNB,Guinea-Bissau,858651121.366691
GNQ,Equatorial Guinea,15573546338.6878
GRC,Greece,241720741047.698
GRD,Grenada,834074059.343795
GTM,Guatemala,53796711129.2129
GUY,Guyana,3075733570.67529
HKG,Hong Kong,274012815223.557
HND,Honduras,18550011298.1029
HRV,Croatia,57538524788.8158
HTI,Haiti,8459326659.75657
HUN,Hungary,
IDN,Indonesia,868345645449.298
IND,India,1876797199132.53
IRL,Ireland,217815840202.114
IRN,Iran (Islamic Republic of),368904351626.505
IRQ,Iraq,222879355403.087
ISL,Iceland,14619878414.2746
ISR,Israel,291357078729.999
ITA,Italy,2071306890124.79
JAM,Jamaica,14362262584.9078
JOR,Jordan,33678459200
JPN,Japan,4901529519265.57
KAZ,Kazakhstan,224414773758.095
KEN,Kenya,44101114723.6414
KGZ,Kyrgyzstan,7226295003.31351
KHM,Cambodia,15249684397.0785
KIR,Kiribati,168951535.045376
KNA,Saint Kitts and Nevis,742962962.962963
KOR,"Korea, Republic of",1304553972501.69
KWT,Kuwait,
LAO,Lao People's Democratic Republic,11141187664.0212
LBN,Lebanon,44352418120.4377
LBR,Liberia,1950960137.7301
LBY,Libyan Arab Jamahiriya,75456402199.5287
LCA,Saint Lucia,1332222222.22222
LIE,Liechtenstein,
LKA,Sri Lanka,67182015335.7602
LSO,Lesotho,2229735838.7396
LTU,Lithuania,
LUX,Luxembourg,60383251105.6372
LVA,Latvia,
MAC,Macau,51753094764.2472
MAR,Morocco,104374278746.059
MCO,Monaco,
MDA,Republic of Moldova,7935229340.65847
MDG,Madagascar,10796551136.1785
MDV,Maldives,2299843167.3684
MEX,Mexico,1260914660977.14
MHL,Marshall Islands,175000000
MKD,The former Yugoslav Republic of Macedonia,10220781069.217
MLI,Mali,10942727309.5296
MLT,Malta,
MMR,Burma,
MNE,Montenegro,4427771436.15609
MNG,Mongolia,11516409581.2989
MOZ,Mozambique,15318970099.6678
MRT,Mauritania,4162533271.22704
MSR,Montserrat,
MUS,Mauritius,11938403908.7948
MWI,Malawi,3705386789.60511
MYS,Malaysia,312435494620.585
NAM,Namibia,12579618856.4894
NCL,New Caledonia,
NER,Niger,7355697919.19683
NGA,Nigeria,522637871819.646
NIC,Nicaragua,11255642564.758
NLD,Netherlands,800173475309.514
NOR,Norway,512580425531.915
NPL,Nepal,19294348174.0026
NZL,New Zealand,182594469395.133
OMN,Oman,80570458653.2623
PAK,Pakistan,236624927697.901
PAN,Panama,42648100000
PER,Peru,202295635535.696
PHL,Philippines,272017377291.725
PLW,Palau,247043418.3
PNG,Papua New Guinea,15289374025.3954
POL,Poland,517542808327.533
PRI,Puerto Rico,
PRK,"Korea, Democratic People's Republic of",
PRT,Portugal,219961867282.386
PRY,Paraguay,29948866615.9682
PSE,Palestine,
PYF,French Polynesia,
QAT,Qatar,202450014109.589
ROU,Romania,189638162013.271
RUS,Russia,2096777030571.25
RWA,Rwanda,7451677748.56966
SAU,Saudi Arabia,745272533333.333
SDN,Sudan,66547789473.6842
SEN,Senegal,15149708525.6255
SGP,Singapore,297941261088.468
SLB,Solomon Islands,1096396926.91144
SLE,Sierra Leone,4929214079.6307
SLV,El Salvador,24259100000
SMR,San Marino,
SOM,Somalia,
SRB,Serbia,42520511655.2703
STP,Sao Tome and Principe,310684635.735921
SUR,Suriname,5230909090.90909
SVK,Slovakia,
SVN,Slovenia,
SWE,Sweden,557938257330.461
SWZ,Swaziland,3791304347.82609
SYC,Seychelles,1268018737.53153
SYR,Syrian Arab Republic,
TCD,Chad,13413893611.8533
TGO,Togo,4338575823.81993
THA,Thailand,387252164290.829
TJK,Tajikistan,8508103455.51497
TKM,Turkmenistan,41850877192.9825
TLS,Timor-Leste,1615000000
TON,Tonga,466259084.092744
TTO,Trinidad and Tobago,24640839007.5918
TUN,Tunisia,47128700683.203
TUR,Turkey,820206962631.085
TWN,Taiwan,
TZA,United Republic of Tanzania,33225036864.8622
UGA,Uganda,21482954236.7675
UKR,Ukraine,177430609756.098
URY,Uruguay,55707944641.5016
USA,United States,16800000000000
UZB,Uzbekistan,56795656324.5823
VCT,Saint Vincent and the Grenadines,725555555.555555
VEN,Venezuela,438283564814.815
VNM,Viet Nam,171391820359.682
VUT,Vanuatu,834760110.267003
WLF,Wallis and Futuna Islands,694376559.149197
YEM,Yemen,35954502303.5041
ZAF,South Africa,350630133297.428
ZMB,Zambia,22383715314.8594
ZWE,Zimbabwe,12801964992.8206
